statement,label
say oregon reps peter defazio and earl blumenauer are socialists who are openly serving in the us congress,0
rudy giuliani is probably the most underqualified man since george bush to seek the presidency,0
about half of the presidents have been governors half of them senators,0
after britains vote to leave the european union within  hours americans lost  billion from our ks,1
medicaid spending declined by  percent in  the second such decline in  years,1
says  texas constables have died in the line of duty,1
gov rick scott cut the cost of prepaid college tuition by nearly ,1
the city of columbus would save  million a year if employees had to contribute to their own guaranteedcheck pensions,1
as floridas cfo i shut down krakows scam and refunded more than  million to josephine and other victims of this con man,1
you had more women getting computer sciences degrees in the s by a factor of plus than you do now,1
the air force wants taxpayers to fund a fantasy football league,0
barack hussein obama will  force courts to accept islamic sharia law in domestic disputes,0
about  percent of murders and crimes are committed with guns from people who actually legally purchase those guns,1
some neighborhood schools are closing,1
he told gay organizers in massachusetts he would be a stronger advocate for special rights than even ted kennedy,1
the years that i was speaker the florida house consistently offered leaner budgets than the governor offered,1
we are already almost halfway to our  goal of creating  new jobs in seven years,0
says the us supreme court found that social security is not guaranteed,1
saysmichael bennet wants to close guantanamo bay prisonand bring terrorists right here to colorado,0
oregonians have an amazing nocost way to fight abortion with free political donations,1
the president said hes going to bring in  syrian and iraqi refugees into this country,0
research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity and thats what they support,0
newt gingrichs immigration plan offers a new doorway to amnesty,1
mr caprio is a career politician who has never worked in the private sector,0
in rhode island  percent of workers use the states temporary disability insurance program each year while in new jersey the rate is only  percent,0
in just  years spending for social security federal health care and interest on the debt will exceed all tax revenue,1
president obama took more money from wall street in the  campaign than anybody ever had,1
donald trump has said nuclear proliferation is ok,1
hillary clinton has taken over  from lobbyists,1
barack obama has never even worked in business,0
says the arizona immigration law expressly bans racial profiling,1
says gov rick perry has been begging for the federal government to send the coast guard to patrol two lakes on the usmexico border,0
on the va over  veterans have died waiting for care,0
were now spending  percent of our economy on government,1
rob cornilles supports privatizing medicare,0
in  dan branch tried to expand thirdtrimester abortions in texas,0
we democrats have made steady progress creating jobs and improving our schools,1
michigan and massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there,0
whether you like to admit it or not half our general revenue goes to education,1
im the only one whos fought against developers draining the everglades,0
says ron johnson calls social security a ponzi scheme and wants to privatize the program,1
there are  other states and  other cities that have the same type of policies that we just passed referring to north carolinas house bill ,1
climate change is directly related to the growth of terrorism,0
the jobs bill includes president obamas tax on soup kitchens,0
says the obama administration spent taxpayer dollars on electric cars in finland and windmills in china,0
while sarah was mayor of wasilla she tried to fire our highly respected city librarian because the librarian refused to consider removing from the library some books that sarah wanted removed,1
if milwaukee approves reducing its maximum forfeiture for marijuana possession to  the city would have  different bicycle violations that have a higher forfeiture,1
we have more illegal immigrants here than we did five years ago,0
says rick perry wrote a letter supporting hillarycare,0
the us patent and trademark office received zero complaints about the washington redskins name,0
the presidents health care proposals will cause most americans to have their premiums increased not decreased and hundreds of millions of people lose their current insurance coverage,0
mexican immigrants are more lawabiding than us citizens and that is a statistic,1
says chris christie vetoed a jobs package of  bills,1
there are already more american jobs in the solar industry than in coal mining,1
says illinois gubernatorial candidate bill bradys first priority after winning the primary was to sponsor a bill that would masseuthanize sheltered dogs and cats in gas chambers,1
barack obama is in an economy thats only worsened since hes been president of the united states,1
romney failed to take action against sanctuary cities in massachusetts,1
says new jersey is down nearly  jobs from its prerecession peak and with gov chris christie new jersey has trailed the rest of america when it comes to unemployment for  consecutive months,1
says thomas eric duncan came into the united states with an elevated temperature,0
we have been in afghanistan longer now than we have been in any foreign land conducting a war in our nations history,1
gas prices have gone up  since obama took office,1
webster sponsored a bill to create a form of marriage that would trap women in abusive relationships,1
says judges get better benefits at a lower cost than everybody else in the state,1
there are a lot of casinos across the country that have gone bankrupt,1
small businesses create  percent of the jobs in america,1
seniors with coverage under medicare advantage will give up more than their share because of health care reform,1
over  school kids were arrested in florida it makes florida the nations leader in that area,1
if texas were a country our economy would rank  in the world,1
there are more oil rigs in operation in the united states than the rest of the world combined,0
payday lenders profit from the poor by charging plus percent interest,1
the social security trust fund is sound without anything being done it would function well into  and even after that time with no changes we could pay  percent of the benefits that people have earned,1
it is a commitment voters take very seriously the only incumbent in ohio to break his pledge and vote for ted stricklands income tax hike was defeated soundly on tuesday,1
the obama administration shut down the amber alert program because of the government shutdown,0
the republicans have  percent of the muslim vote,1
we see americas prison population exploding with america having a greater percentage of its people behind bars than any other nation in the world,1
says that in a hearing rep gabrielle giffords suggested to gen david petraeus that the army put more emphasis on less environmentally damaging methods like stabbing or clubbing enemy forces in order to minimize the carbon output,0
every single one of the  republican senators who just blocked a raise in the minimum wage will receive a  costofliving adjustment on january  ,1
in texas the no  name for new male babies many of whom will vote one day is jose,1
marco rubio voted against authorizing president obama to strike syria after assad used chemical weapons on his own people,1
under the cash for clunkers program all weve got to do is  go to a local junkyard all youve got to do is tow it to your house and youre going to get ,0
not one republican has the guts to recognize that climate change is real,0
while our people work longer hours for lower wages almost all new income goes to the top  percent,1
david dewhurst has a record of promoting an income tax,0
point pleasant beach does not own its beaches they are privately owned and operated by businesses such as jenkinsons,1
in the past year more than  percent of americans have changed their mind about the war in afghanistan they conclude we shouldnt be there,0
in the last five years  people have been killed along the usmexico border,0
the state of ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation,0
says obama health reform law denies millions access to affordable insurance,0
says hb hasnt moved the needle one iota on north carolinas economy,0
close to  of our federal prison population consists of illegal immigrants,0
says rick scott called education not a core function of the state,0
the family research council according to some government agencies is a terrorist group,0
says rep jim weidner proposed a bill taking away health care for  of oregons children,1
says that in the  election former gov tom kean had the largest winning margin for a gubernatorial candidate in jersey history,1
obamacare is the biggest tax increase in american history,0
you  said that barack obama was not ready to be commander in chief,1
the median male worker in this country has not seen a raise inflation adjusted for  years basically,1
milwaukee mayor tom barrett has held the line on property taxes,0
im the only member of the house of representatives who raised most of his campaign funds in the last election from small contributions of less than ,1
unlike the gridlock in washington more than  percent of the bills we passed during this general assembly had bipartisan support,1
josh mandel is lying about his own record the rating of ohios investment fund has not improved,0
rick scott took  from a family that leased land for drilling and now he is trying to hide from it,1
on how money from a possible lease of the ohio turnpike would be used,1
at the beginning of the last decade  america had a budget surplus of over  billion by the time i took office we had a oneyear deficit of over  trillion and projected deficits of  trillion over the next decade,1
the president has had  of his nominations confirmed only four defeated,1
us taxpayers are being forced to fund feisal abdul raufs trip to the middle east,1
milwaukee county taxpayers paid  to settle a lawsuit over a decision by sheriff david a clarke jr to use untrained corrections officers rather than deputies to patrol the lakefront,0
there are justice department policies against fbi director james comey discussing details of a federal investigation so close to an election,1
democratic presidents have been considerably more effective at creating privatesector jobs,1
joe biden voted against the first gulf war he opposed the surge he wanted to partition iraq,1
says rush limbaugh made it clear hed rather see the country fail than president barack obama succeed,0
one percent of the american people make over  percent of all the income in america that wasnt the way before george bush became president,1
military recruiting went on at harvard every single day throughout the time kagan was there,1
says that under rick perrys plan texas has cut funding for public schools by ,1
says david perdue wants to abolish the us department of education which would cost georgia schools  billion a year and eliminate millions in student loans,1
the paul ryan budget proposal would privatize medicare,1
high school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court,1
the united states imprisons more than any nation in the world,1
says marco rubio is the one for an open border,0
over  years federal spending on education has grown by  percent but test scores remain flat,1
says cuts to medicare affect people who have already paid in we paid for it,0
david alameel is giving thousands of dollars to support the republican party candidates including john cornyn and greg abbott,0
the american healthcare system burns  percent of our national gdp nobody else is close,1
providences port is  miles closer to europe than any other eastern port,0
says you need a photo id to purchase sudafed in texas,1
twenty percent of housing in portlands pearl district is affordable,1
says allowing the payroll tax holiday to expire would end up costing another estimated  jobs in ,1
hillary clinton supported nafta and permanent china trade pennsylvania lost thousands of jobs,1
numerous studies have shown that these socalled righttowork laws do not generate jobs and economic growth,1
obamas budget plan would take national debt up to about  percent of gross national product  historically its been about  percent,1
says hillary clinton said the veterans affairs scandal is overexaggerated she said she was satisfied with what was going on,0
we now have driven health care costs down to the lowest theyve been in  years,0
president barack obamas initial response when we heard about the christmas underwear bomber was to say that this was the act of an isolated extremist,1
says sen sherrod brown admitted that his  billion stimulus law failed and after specifically attacking republicans for wanting to lower americans taxes he now claims that his stimulus bill didnt do enough to lower taxes,1
in the s a lot of people got rich and they had to pay a top tax rate of  percent,1
the charleston sc shootershould have never been given a gun but the universal background check was not fast enough,1
sixtyfive percent of the iraqi people now say its okay to shoot an american soldier,0
twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional,0
says gov chris christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years,1
warren buffett still does support me,1
says george lemieux was one of two republicans who voted for president barack obamas jobs bill,1
a precinct in the allen westpatrick murphy recount has  registered voters in guatemalan community and the tally showed  voted,0
about  people that were on unemployment when i took office are not on unemployment now,1
one person kathleen sebelius was going to determine whether or not yearold lung patient sarah murnaghan would live or die,0
ron klein repeatedly voted in favor of amnesty for illegal immigrants,0
local law enforcement    will have access to the obamacare data hubs treasure trove of personal info,0
during his tenure as mayor he saw houstons crime rates drop to the lowest levels in more than  years,1
barack obamas columbia university id says he was a foreign student and went by barry soetoro,0
john mccain one of the richest people in a senate filled with millionaires says the solution to the housing crisis is for people to get a second job and skip their vacations,0
terry mcauliffe wants to raise your taxes  to pay for his infinite promises,0
hypocrisy at the clinton foundation top male staff made on average  while top female staff made  from ,1
since the federal violence against women act was adopted in  cases of domestic violence have fallen by  percent,1
says federal law enforcement officers cut off questioning of the christmas day underwear bomber by giving him a miranda warning after  minutes of questioning,1
on legalizing illegal immigrants,1
nearly half of all pregnancies in the us are unintended,1
we are borrowing saudi money for saudi oil with the result being dependency and debt,1
says there are homes for sale on and around oswego lake right now for under  that anyone is welcome to buy,1
since the president became the president we have lost  million jobs in the private sector but you know whos done ok and whos not complaining today the public sector weve gained  public sector jobs,1
the top  percent pay over half of the entire revenue for this country,0
the difference over the previous four years between where things were headed and where we brought them to over the last four years is a total of  in saved property tax money,0
chris christie has not increased the taxes on anyone,1
the united states does not have a system through which growers and dairies can bring a workforce legally into the us,0
says he never said he would keep education funding the same,0
since  college tuition nationwide has gone up something like four times the rate of inflation,1
says sen rob portman said it would be irresponsible not to cut medicare,1
most of if not all of the dekalb school construction projects always came in on or were under budget,1
palin supported rightwing extremist pat buchanan for president in ,0
says sen sherrod brown voted to block american energy production and increase energy taxes,0
says jeanne shaheen voted for a measure that would have amounted to a new national energy tax,0
washington dc had some of the strictest gun laws in the country and when they passed them violence skyrocketed,1
seven presidents before barack obama  republicans and democrats  tried to expand health care to all americans,1
while fighting a move to toughen penalties for workplace gender discrimination state sen glenn grothman said he didnt believe women belonged in the workplace but belonged at home cooking and cleaning and having babies,0
if you put the  billion in revenue raised over  years by the buffett rule into infrastructure you could create  infrastructure jobs,0
what is the proper collective noun for a group of baboons believe it or not    a congress,0
i have repeatedly said that many of the predatory loans that were made in the mortgage system did target africanamerican and latino communities,1
starting in december   million jobs were created in texas in that same period the rest of the country lost  jobs,1
the health reform legislation which washington passed last year has made it more difficult to hire because its increased costs for employers,0
the cbo the congressional budget office has said that obamacare will kill  jobs,0
thompson voted against  caps on damages and almost anything that would make our legal system fairer,0
texas this fiscal year will have more money in reserve than the other  states combined,0
on using the strategic petroleum reserve,0
immigrants are more fertile,1
the proposed education changes will not cut one teachers pay,1
the number of uninsured people in massachusetts is about the same as it was when the mandates were passed in ,0
firearms homicides are down about  percent since texas passed concealedgun permit law,1
upwards of  percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound,0
we spend less on defense today as  of gdp than at any time since pearl harbor,0
if you got rid of the income tax today youd have about as much revenue as we had  years ago,1
says scott walker wants to ban common forms of birth control including the pill,1
jason kander supports obamas plan to bring the remaining suspected terrorists to us soil,0
shelby county donated im sorry gave  schools to the city of memphis,1
top us intelligence officials have toldevery member of congress including the president were about to be attacked in a serious way because of the threat emanating from syria and iraq,1
have the suburbs been inundated with former residents of atlanta housing projects absolutely not,1
in july  mitt romney helped locate the missing teenage daughter of a partner at bain capital,1
blames mike mcintyre and nancy pelosi for the second straight year of no costofliving increases for social security beneficiaries,0
the government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it,0
there are mechanisms in place to shut down the internet privately,1
the american people support defunding obamacare and oppose shutting down the government,0
report that gop insisting on changes to social security as part of fiscalcliff false btw those changes are supported by barackobama,1
nobody has played clips over and over of president obama saying if they bring a knife to the fight well bring a gun,1
the people of rhode island dont want samesex marriage,0
rep paul ryans medicare plan lines the pockets of the private insurance companies increases costs for seniors and does not reduce the deficit,1
this year in congress connie mack iv has missed almost half of his votes,0
 of our kids drop out of high school cannot go to college or start a career,0
not even old gen eisenhower saluted military personnel as president,0
if wisconsins governor cuts perquisites as much as he plans to do it would still leave workers better off than their private sector counterparts,1
you cant get on an airplane but more than  people on that list have been able to buy a gun,0
 percent of republicans support the affordable care act,0
for every  spent on afterschool programs we can save over  almost  in crime costs down the line,1
the federal government has  trillion in cash flow so we can pay our bills and wont default,1
says alex sink failed florida homeowners by using predatory lending practices,0
over  percent of small and midsize banks that loan money to small businesses have been wiped out since doddfrank has passed,0
you cant check out a library book without a photo id,0
says that starbucks took christmas off of their brand new cups,0
atmospheric conditions could push a footballs pressure down approximately oneandahalf pounds per square inch,1
hillary clinton supports unlimited abortion on demand up until the moment of birth including partialbirth abortion with taxpayer funding,0
under legislation that has cleared the georgia house some children who are legal refugees could obtain state scholarships to attend private schools,1
we went from losing  million jobs in the last six months of the bush administration adding almost  private sector jobs in the first six months of the year,1
the star ohio fund just received the highest possible credit rating one of these funds can receive,1
taxpayers are on the hook  for less than a third of the proposed new atlanta falcons stadium and those funds are repaid from money that comes from outsiders,1
in the last  months businesses have created more than  million jobs last year they created the most jobs since ,1
every year more than  million are leaving missouri for the lone star state,1
a college loan is the only loan in the united states that you cannot refinance when interest rates go down,1
the house of representatives has never passed a resolution of disapproval to condemn a members behavior,1
we are younger than our competitors and this is entirely because of immigration,1
recent international reports show the united states near the bottom among industrialized nations for k academic achievement,1
says  million people in this country cant find a fulltime job  million cant see a doctor when theyre sick  million people need government help to feed themselves and  million families owe more than the value of their home,1
the policy mistakes that  the clintons made got us in large degree to the situation that we are in today with mass incarceration,1
says he raised average family income by  percent during his tenure as arkansas governor,0
they tried to give us  million to build a highspeed train that goes  miles an hour,1
says the cbo estimates that fully extending the bush tax cuts would add  million jobs in  and  million jobs in ,1
president reagan did it raised the debt ceiling  times george w bush did it seven times,1
according to david cay johnston the average american pays about  percent of their income to federal taxes the richest  americans pay about  percent of their income to federal taxes,1
most young americans right now theyre not covered by health insurance,0
in  the corporate income tax accounted for  percent of all federal tax revenue today despite recordbreaking profits corporate taxes bring in less than  percent,1
over the last  years texas created  percent of the net new jobs nationwide,1
says twothirds of groups targeted for irs scrutiny were not conservative,0
in the class of  at patrice lumumba university in moscow mahmoud abbas was one of the members of that class and so was ali khamenei and thats where they first established relationships with the young vladimir putin,0
last week the texas state board of education sboe led by rick perrys appointee voted to remove thomas jefferson from social studies textbook standards thats right thomas jefferson was deleted from a list of historical figures who inspired political change,1
as a us senator with salary and perks bernie is in the top  percent but still paid only  percent in taxes last year,0
you know we cant just pull out now the truth of the matter is if we started today it would take one year one year to get  troops physically out of iraq logistically,1
from  the richest  americans increased their net wealth by more than  billion yet the republican budget would not require these americans to contribute one penny to deficit reduction,1
says that while foster was mayor rick kriseman was ineffective in the florida house of representatives because there was no legislation that passed the house that had krisemans name on it,1
says texas routinely gets a lot more federal spending than it pays in taxes,1
cell phone numbers go public this month,0
says it has offered  million in savings through  and  million in savings over the next  years in contract negotiations with the city of milwaukee,0
clackamas county commissioners approved a renegotiated agreement to lower the countys contribution to trimets portlandmilwaukie light rail project to  million from  million,0
says texas has  different felonies you can commit with an oyster,1
the obama administration is unwinding our nations welfaretowork requirements,0
electric car sales in georgia have dropped dramatically since a  tax credit was eliminated and a  annual registration fee was imposed july ,1
the redskins training camp deal generated  million in new private investment in the city,1
the gop budget plan would cut nearly a million jobs,1
there are more people living in this country who were not born here than at anytime in the history of the country,1
says hillary clinton defended syrias president assad as a possible reformer at the start of that countrys civil war,1
the postal services financial losses result from a  law that drains  billion a year from post office revenue while the postal service is forced to overpay billions more into federal accounts,1
as many as six federal department budget bills have been delayed because of opposition to amendments that would ban confederate battle flag sales at federal building gift shops,1
shes voted for  tax increases hurting the middle class and small businesses,0
now in the house of representatives we have  different jobs bills that have passed and almost all of them have been bipartisan,0
sheila jackson lee of texas said hey all you wrinkly whiteaged hasbeens its time for you to die and let the next generation have your spot on the planet,0
republican small business tax cut bill spends  million for better google searches not job creation,0
a  state law would allow the operator of an iron ore mine in northern wisconsin to fill in pristine streams and ponds with mine waste,1
america is one of the highesttaxed nations in the world,0
if black america were a country itd be the th wealthiest nation in the world,0
since republicans took over after the  election the graduation rate in wisconsin has gone from  percent to  percent the black graduation rate has gone from  percent to  percent the latino graduation rate has gone from  percent to  percent,1
it has been estimated that nearly  percent of all guns sold in america are sold by private unlicensed sellers either online or through gun shows,0
 was the deadliest year of the war in afghanistan for american forces,1
florida teachers are already paid  below the national average,1
since rick perry became governor texas has gone from th in the country to th in the population that graduates from high school,1
says amanda fritz manages less than  percent of city operations,1
the streetcar project planned by mayor tom barrett would be a s style trolley,1
americans in the last  years have more than doubled the amount of money we are spending per child on education and the results have gotten worse not better,1
polls show that floridians dont want to repeal the affordable care act,0
says congressman bill pascrell voted to remove the public option from the affordable health care act,0
lawmakers were paid for their offseason efforts to for the first time take the lead in drawing borders for two wouldbe cities,1
greg abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue,0
on offshore drilling for energy,1
under a proposed medical marijuana amendment in florida you dont get refills  you get it forever,0
a datastoring microchip would be implanted in the majority of people who opt to become covered by the public health care option,0
enacting the righttocarry act would amount to expanding the rights of sex offenders terrorists child predators and abusers to carry concealed weapons across state lines,1
i havent missed a vote since ,1
says the treasurers office has saved  million in management costs for the oversight of public investments,0
says georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools,1
jorge elorza wants to impose a municipal income tax,0
the supreme court cant overrule the other two branchesof government,0
roughly  of ri has a criminal record,0
nathan deal cut the hope scholarship program so that literally  georgians will not be able to go to college or get technical training that they so badly needed to raise  you know give them a chance at a good job,1
as governor of arkansas i cut taxes and fees almost  times saving the taxpayers almost million i left a surplus of nearly million,1
i havent raised taxes in the time ive been the governor of new jersey,1
massachusetts public schools teach kids as young as kindergartners about gay marriage,0
im probably one of the four or five bestknown americans in the world,0
we are accepting more legal immigrants than we ever have in the history of the united states,0
congress is bewildered at the scope and reach of our spying apparatus but in  and  explicitly rejected an amendment calling for more disclosure,1
six people in florida die as a result of not expanding medicaid every day,1
gov maggie hassans budget proposal raises taxes on small businesses and increases taxes and fees by  million,1
only in washington would politicians spend  million to teach moroccans how to make pottery,0
hillary clinton starts off with  percent of the country against her,1
saysrand paulhas put out budgets to cut the military in half,0
groups that receive foreign money are spending huge sums to influence american elections,1
says legislative cuts mean texas is spending on average  less per student,1
at his current rate president obama will have added more debt to the united state of america by the end of his first term than each of the previous  presidents  combined,1
we know that saudi arabia started alqaida,1
says williamson county attorney jana duty has never prosecuted a single adult felony case,1
the fundraising numbers are in and our grassroots support is unmatched,0
issue  makes it illegal for us to negotiate for enough firefighters to do the job,1
says although the unemployment rate seems to be improving it does not reflect real job creation  its caused by a shrinking of the actual labor force,1
gov scott walker hired convicted assembly speaker scott jensen to oversee a raid on the state employee retirement system to help balance the state budget,0
obama voted to cut off funding for our american troops on the battlefield,0
in general it appears wisconsins right to work bill would likely apply to the green bay packers players and their union,1
the socalled defense minister of the peoples republic of donetsk  actually posted a bragging social media posting of having shot down a military transport and then when it became apparent it was civilian they pulled it down from social media,1
democrats are kind of falling over each other seeing who can raise taxes faster it looks like theyre going to raise taxes anywhere between  to  percent,1
right now one of our highest job growth sectors is leisure and hospitality weve added jobs that mostly fall within the restaurant and bar sector industry these are not highpaying jobs as the us department of labor estimates this is an industry sector with the lowest average wages and the lowest proportion of its workforce earning minimum or subminimum wage jobs,1
